STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1981-Q2,,6.2,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1981-Q3,,4.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1981-Q4,,4.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1982-Q1,,6.3,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1982-Q2,,6.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1982-Q3,,4.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1982-Q4,,5.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1983-Q1,,6.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1983-Q2,,6.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1983-Q3,,5.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1983-Q4,,5.3,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1984-Q1,,6.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1984-Q2,,6.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1984-Q3,,5.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1984-Q4,,5.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1985-Q1,,5.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1985-Q2,,6.3,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1985-Q3,,4.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1985-Q4,,5.2,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1986-Q1,,5.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1986-Q2,,6.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1986-Q3,,5.3,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1986-Q4,,5.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1987-Q1,,5.6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1987-Q2,,5.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1987-Q3,,4.6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1987-Q4,,4.6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1988-Q1,,5.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1988-Q2,,5.6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1988-Q3,,4.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1988-Q4,,5.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1989-Q1,,5.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1989-Q2,,6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1989-Q3,,4.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1989-Q4,,4.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1990-Q1,,6.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1990-Q2,,7.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1990-Q3,,6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1990-Q4,,5.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1991-Q1,,6.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1991-Q2,,6.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1991-Q3,,5.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1991-Q4,,6.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1992-Q1,,7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1992-Q2,,6.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1992-Q3,,5.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1992-Q4,,6.3,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1993-Q1,,7.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1993-Q2,,6.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1993-Q3,,6.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1993-Q4,,6.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1994-Q1,,6.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1994-Q2,,6.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1994-Q3,,5.6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1994-Q4,,6.4,,NUM,Number,3,Thousands,,,,
